#{"t_start": 1739453192.7516766, "env_id": "None"}
r,l,t
3.3336868e-15,151,143.124914
2.7352066,151,143.957914
0.001091707,151,144.788912
1.8743312,151,145.637912
0.0,151,146.48491
0.0038076479,151,147.343402
0.0054415176,151,148.173915
0.0,151,149.009169
5.454308e-05,151,149.841635
14.788192,151,150.673514
0.0,151,151.505789
0.029273134,151,152.337914
0.054974448,151,155.887873
0.0,151,156.723207
2.5258837,301,158.354928
0.0,151,159.186391
2.0284207,151,160.019048
5.0335264,151,160.846558
0.29282194,151,161.677216
0.19635978,151,162.507722
0.0,151,163.339982
7.112803e-10,151,164.176127
4.4624082e-07,151,165.008703
0.00020225014,151,165.842861
9.952601e-21,151,169.120669
7.0855344e-12,151,169.95625
1.6773781e-10,151,170.796478
0.8239493,151,171.635834
0.82030046,301,173.273293
1.1047421e-17,151,174.108705
1.8692272,301,175.749163
3.911645e-38,151,176.584074
1.6256181e-06,151,177.418072
3.646708,301,179.054071
0.8598213,451,183.901065
0.0,301,185.538135
2.000222,151,186.373062
3.8910287e-18,151,187.207061
4.490539e-08,151,188.037571
0.021166338,151,188.86856
4.2411273e-37,301,190.505472
2.9795366e-20,151,191.341471
0.0927802,151,192.173531
0.0,151,193.00408
0.23184985,301,197.044768
3.5854914,301,198.676809
4.9061506e-05,151,199.507765
0.0,151,200.341765
1.583267e-05,151,201.174764
1.3973811e-09,151,202.009763
9.1824795e-06,151,202.841762
0.023318138,151,203.683761
0.041518133,151,204.51576
0.47347125,151,205.347759
0.0006525828,151,206.181757
0.81868553,151,207.017836
0.4165431,151,210.26739
0.030324437,151,211.102388
0.0,151,211.935387
0.12658058,151,212.767918
0.027085057,301,214.405092
0.0173291,151,215.239091
2.1017096,301,216.874032
0.0,151,217.705432
1.62508,301,219.342956
4.1119103,301,220.980954
0.03100261,301,225.031474
5.3795502e-05,151,225.862473
0.0,151,226.694472
0.0007155398,151,227.526206
0.0,301,229.164371
0.00040860288,151,229.99337
12.927946,151,230.825368
3.513409,301,232.466471
6.87344e-40,151,233.29795
1.5483876e-21,151,234.130533
0.37455618,151,237.372854
0.16229646,301,239.004852
1.0389044e-06,301,240.63985
1.9571217e-12,301,242.270848
0.20832968,151,243.099847
0.24082999,151,243.931846
0.04356968,151,244.760845
7.823971e-06,151,245.591906
0.068867505,151,246.424839
12.610597,301,248.060387
0.00022372449,151,251.303383
0.024986466,151,252.136439
0.14712766,301,253.772354
3.4468376e-06,151,254.606088
0.02612476,151,255.436314
1.2252366e-10,151,256.268428
0.0010769012,151,257.098427
6.401788e-14,151,257.933426
5.7650103e-13,151,258.762425
0.0,151,259.595424
2.7e-44,151,260.426423
0.040028427,151,261.259422
0.011883019,151,264.507418
4.2312336,301,266.143416
1.672072e-33,151,266.973416
1.9994523e-27,301,268.612414
2.768865e-24,151,269.444413
6.873564e-16,151,270.279412
0.13548034,151,271.114411
0.0006244275,151,271.96341
0.0005513676,151,272.797139
1.634142e-08,151,273.627283
3.5537883e-05,151,274.458301
0.069478504,151,275.288329
0.45615792,151,278.528136
1.4020311,151,279.359135
7.646007,151,280.192134
0.5565444,151,281.024133
2.8675606,151,281.856132
0.008438941,151,282.689325
0.0,151,283.519461
6.2194813e-06,151,284.349718
9.651451e-08,151,285.192717
0.043459546,151,286.052576
1.4944317,151,286.891265
2.6658982e-19,151,287.722642
0.04367384,151,288.554331
3.784535e-16,151,289.387865
0.0,151,292.632632
1.2321084e-21,151,293.463966
3.330671e-26,301,295.099677
0.00032043367,301,296.734259
1.7042158,301,298.368229
7.941543e-12,151,299.205227
